Id,OverallQual,GrLivArea,YearBuilt,YearRemodAdd,YrSold,TotalBsmtSF,1stFlrSF,2ndFlrSF,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,GarageCars,GarageArea,LotArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,Neighborhood,SalePrice
21,7,1515,1899,1919,2008,1369.0,1066,449,2,0,3,7,2,477.0,17404,160,30,170,Somerst,265525
22,5,1253,2002,2027,2010,869.0,996,257,1,0,3,7,2,411.0,10056,260,60,140,NAmes,180417
23,6,1180,1946,1946,2007,1059.0,600,580,1,1,4,7,1,283.0,14855,320,160,140,MeadowV,158984
24,6,1111,1962,1962,2008,725.0,668,443,2,0,4,7,2,432.0,14306,480,0,150,SawyerW,178265
25,7,1868,1882,1902,2010,1002.0,994,874,1,0,3,6,1,260.0,11318,110,130,190,BrDale,202210
26,8,1530,1943,1968,2007,1478.0,885,645,2,0,3,6,1,280.0,16364,440,140,0,Mitchel,269478
27,5,1051,1919,1934,2007,732.0,790,261,2,1,3,6,2,486.0,2481,100,110,0,NPkVill,137182
28,7,1119,1938,1953,2009,1003.0,570,549,2,0,2,5,3,603.0,11728,120,110,30,Blueste,195874
29,7,1422,1941,1941,2007,909.0,932,490,2,1,3,5,2,503.0,5052,300,50,120,NPkVill,210231
30,3,685,1939,1939,2008,563.0,459,226,2,1,3,7,0,92.0,18805,120,250,30,NPkVill,88247
31,7,1878,1995,2000,2008,1759.0,1255,623,1,0,3,6,3,681.0,13438,370,260,70,BrkSide,247317
32,5,1451,1954,1969,2010,755.0,932,519,2,1,3,7,1,260.0,17818,250,280,120,Timber,179713
33,3,812,2001,2001,2010,743.0,598,214,2,0,3,7,3,636.0,6552,300,120,70,CollgCr,135202
34,10,2450,1986,1991,2007,1924.0,1323,1127,1,1,5,8,2,417.0,6906,210,150,130,NridgHt,457657
35,10,2196,1975,1975,2006,1765.0,1302,894,3,0,4,7,2,401.0,19358,50,130,0,BrDale,366404
36,8,1635,1970,1970,2009,1245.0,1119,516,1,0,2,5,2,469.0,14350,190,60,80,BrkSide,263703
37,6,900,2009,2019,2006,843.0,636,264,1,0,4,6,3,681.0,14101,200,280,0,Timber,205468
38,4,1558,1941,1951,2007,,967,591,1,0,3,7,3,647.0,8598,90,240,60,NWAmes,178976
39,8,1422,1928,1928,2007,896.0,1084,338,3,0,4,6,2,436.0,8219,180,150,190,Crawfor,240138
40,7,1220,1971,1986,2006,1144.0,762,458,2,0,3,6,2,452.0,17356,340,220,120,Edwards,218568
41,4,1304,2003,2003,2009,1142.0,809,495,2,0,3,5,2,430.0,10094,250,80,140,NPkVill,164461
42,7,2037,1940,1940,2006,1036.0,1040,997,1,1,4,8,2,450.0,2112,60,250,80,Blueste,248140
43,3,1226,1927,1947,2010,929.0,815,411,2,0,3,6,2,429.0,8786,360,130,150,NoRidge,166147
44,9,1962,1937,1942,2008,1500.0,1398,564,2,1,4,7,0,68.0,11568,70,240,160,Veenker,346817
45,6,1518,1980,1980,2010,,811,707,2,0,4,7,2,487.0,11305,40,290,80,OldTown,215565
46,8,1870,1991,1991,2008,1213.0,1106,764,1,0,5,9,3,665.0,4517,430,290,50,BrDale,293879
47,6,1551,1941,1966,2007,1304.0,1139,412,1,0,3,5,3,647.0,11426,350,230,190,ClearCr,219664
48,7,1606,1918,1918,2009,969.0,979,627,1,0,3,6,0,79.0,13240,270,60,110,Mitchel,204272
49,7,1570,1937,1952,2006,1412.0,898,672,2,1,3,6,1,250.0,12072,490,110,150,Sawyer,224242
50,5,1237,1978,2003,2009,1115.0,867,370,2,0,5,7,3,678.0,17737,20,20,140,Crawfor,180566
51,10,1849,1923,1928,2006,1308.0,1033,816,2,1,3,6,2,430.0,11502,380,260,60,Crawfor,362623
52,8,1643,1908,1933,2010,1054.0,1262,381,2,1,3,6,2,434.0,17318,70,130,90,Crawfor,306639
53,10,1661,1938,1938,2010,1066.0,883,778,3,0,3,5,1,220.0,4701,140,180,30,CollgCr,331114
54,9,1830,1950,1965,2006,1356.0,1302,528,2,1,3,6,3,636.0,2252,260,100,20,SawyerW,332932
55,7,1352,1971,1996,2009,1162.0,878,474,2,0,2,4,1,279.0,9056,480,40,170,NPkVill,222434
56,9,1629,1888,1888,2006,1106.0,1239,390,1,0,3,6,1,223.0,2841,350,220,0,NWAmes,274640
57,4,1135,2006,2021,2007,913.0,610,525,1,1,4,7,1,180.0,15481,150,120,120,NAmes,159576
58,5,1528,1900,1900,2010,1056.0,1074,454,3,0,2,5,3,637.0,10196,250,270,170,Edwards,179142
59,3,1133,1943,1943,2007,739.0,760,373,2,0,4,8,2,414.0,16025,440,90,70,NPkVill,133376
60,6,1085,1969,1994,2010,555.0,698,387,1,0,3,6,2,434.0,7065,430,60,100,NoRidge,223137
61,6,1202,1915,1940,2010,603.0,778,424,2,0,3,6,2,513.0,16447,30,160,90,IDOTRR,162326
62,6,1588,1941,1961,2008,974.0,1137,451,3,0,3,6,3,623.0,9430,110,150,30,StoneBr,273047
63,8,1503,1955,1975,2007,1056.0,1174,329,2,0,3,6,2,469.0,8017,160,70,30,SWISU,258076
64,6,1355,1892,1892,2007,1254.0,714,641,2,0,3,5,2,447.0,15787,400,160,30,CollgCr,219774
65,6,1510,1890,1905,2008,1357.0,763,747,2,0,4,6,3,661.0,13329,430,120,110,NridgHt,276233
66,7,1356,1933,1953,2009,859.0,1005,351,2,1,3,7,2,434.0,3922,250,290,70,OldTown,211005
67,5,1271,1895,1895,2007,790.0,676,595,1,0,3,7,2,484.0,15460,300,100,120,Blmngtn,161971
68,8,1433,1887,1907,2006,879.0,1140,293,3,1,1,5,3,662.0,10365,140,190,70,MeadowV,230656
69,4,979,1983,1988,2008,655.0,671,308,3,1,4,8,2,463.0,7485,330,170,20,Mitchel,148610
70,10,2063,1938,1938,2007,1545.0,1434,629,2,1,3,7,2,452.0,8447,280,40,110,ClearCr,359186
71,8,1381,1936,1951,2009,993.0,772,609,2,1,3,7,1,287.0,15290,80,50,170,NoRidge,278120
72,5,1338,1919,1934,2007,815.0,765,573,1,0,2,5,2,466.0,16239,130,190,140,Veenker,186874
73,1,646,2009,2019,2010,365.0,450,196,3,0,5,8,2,461.0,12471,350,130,130,BrkSide,63902
74,8,1810,1973,1988,2006,916.0,1398,412,1,0,3,5,1,269.0,5168,30,110,80,IDOTRR,260819
75,8,1744,1923,1923,2008,1006.0,1385,359,2,1,3,6,3,597.0,12244,370,280,40,BrkSide,271973
76,8,1972,1959,1964,2010,1681.0,1103,869,3,1,3,6,2,455.0,6009,360,30,140,SWISU,316705
77,8,1725,1960,1975,2009,1072.0,931,794,2,0,4,8,2,448.0,4000,230,60,70,CollgCr,304256
78,4,1014,1881,1891,2010,744.0,524,490,2,0,3,6,2,485.0,11404,160,100,20,NPkVill,125089
79,6,1424,1994,1994,2010,1133.0,1082,342,2,1,4,7,2,428.0,18183,120,190,110,BrDale,191211
80,4,1208,1969,1969,2009,1139.0,710,498,1,0,3,6,1,256.0,13916,190,10,40,Sawyer,155806
81,9,1859,1902,1902,2010,1755.0,930,929,2,0,3,5,2,507.0,16333,160,30,80,NoRidge,344014
82,7,1558,1941,1941,2008,1359.0,883,675,1,0,3,6,1,249.0,19790,260,60,190,CollgCr,232798
83,6,1259,1992,1992,2007,651.0,758,501,2,1,4,7,1,210.0,3985,320,0,20,Mitchel,195117
84,3,817,2007,2027,2010,643.0,651,166,1,0,3,6,0,,15503,200,140,70,SawyerW,112169
85,6,1119,1941,1956,2008,999.0,735,384,2,0,4,7,1,228.0,8959,160,190,120,Sawyer,178260
86,6,1749,1917,1942,2007,889.0,981,768,2,1,3,5,2,418.0,7620,210,210,70,Gilbert,213174
87,8,1451,1940,1940,2007,1124.0,871,580,3,0,4,7,2,419.0,9985,240,230,40,Mitchel,258987
88,7,1411,2008,2028,2010,1310.0,845,566,2,1,2,5,3,671.0,15751,20,70,60,Blueste,227615
89,9,1706,2001,2001,2008,1257.0,863,843,2,0,3,6,2,488.0,19757,260,280,40,MeadowV,299983
90,7,1728,1989,1989,2010,867.0,934,794,2,0,3,6,2,502.0,7672,260,240,80,Blueste,263884
91,4,1041,1892,1907,2009,526.0,737,304,3,1,3,5,2,450.0,19972,450,40,40,Timber,154453
92,8,1949,1979,1994,2007,1380.0,1044,905,2,1,3,5,2,420.0,7987,110,130,70,Veenker,320225
93,8,1565,1901,1921,2010,903.0,890,675,2,0,3,6,2,432.0,11464,140,170,110,CollgCr,256476
94,7,1605,1953,1953,2007,1335.0,971,634,3,0,2,5,2,451.0,12555,370,20,30,Veenker,273858
95,8,1532,1902,1922,2008,1308.0,1114,418,2,1,3,6,1,249.0,8380,190,10,80,Somerst,250426
96,7,1979,1998,2013,2006,1165.0,1335,644,3,0,2,6,2,489.0,2028,210,240,130,MeadowV,267609
97,7,1312,1949,1974,2010,1238.0,927,385,3,1,3,5,2,410.0,11825,10,210,180,NAmes,218009
98,6,1461,1963,1978,2010,1053.0,979,482,3,1,2,4,2,416.0,19808,30,150,120,Gilbert,213960
99,2,926,1980,1980,2007,529.0,652,274,1,0,2,5,3,640.0,18746,440,130,20,SWISU,112827
100,4,1182,1963,1988,2008,1042.0,592,590,2,1,2,5,1,261.0,12054,120,150,30,NAmes,157893
101,3,912,1907,1927,2009,816.0,710,202,2,0,3,6,1,236.0,16913,310,100,0,NAmes,124773
102,7,1524,1880,1880,2008,1249.0,812,712,2,1,4,8,2,434.0,15627,210,270,0,Gilbert,229601
103,6,1408,1942,1942,2010,1304.0,875,533,2,0,4,8,3,685.0,19526,240,160,100,ClearCr,198437
104,7,1520,1901,1906,2009,1320.0,1111,409,1,1,2,4,2,464.0,17193,260,20,150,StoneBr,269683
105,9,2042,1949,1949,2008,1921.0,1287,755,1,1,3,7,2,420.0,10712,160,220,30,NridgHt,392613
106,5,1692,2004,2004,2006,1213.0,1326,366,2,1,3,5,1,234.0,6696,50,220,60,Blmngtn,242424
107,6,1288,1975,1975,2007,1125.0,824,464,2,1,3,6,2,465.0,15350,420,40,110,Crawfor,228795
108,8,1426,1958,1968,2008,1425.0,1087,339,2,0,3,6,2,412.0,8499,150,20,50,Blmngtn,284406
109,5,1232,1884,1884,2008,1062.0,915,317,2,0,3,6,3,665.0,8822,70,280,190,Timber,172778
110,4,1615,1939,1944,2006,899.0,1282,333,2,1,3,6,1,239.0,4643,320,140,80,Mitchel,201356
111,6,1239,1999,2009,2010,940.0,963,276,2,1,3,6,2,460.0,15312,90,220,70,Crawfor,203783
112,5,1577,1925,1935,2007,1251.0,1213,364,2,1,2,5,2,,19354,330,40,130,BrDale,191861
113,9,2185,1935,1950,2008,1282.0,1572,613,2,1,3,5,0,16.0,7178,180,210,140,CollgCr,346453
114,8,1589,1989,1999,2009,1559.0,969,620,2,0,3,5,2,430.0,2882,130,20,40,BrDale,248627
115,7,1663,1983,1983,2008,977.0,884,779,1,0,3,6,2,493.0,11028,20,50,140,SWISU,252004
116,9,2175,1956,1956,2007,1280.0,1536,639,2,0,3,6,2,521.0,8614,400,220,50,Edwards,325426
117,8,1624,1881,1881,2008,1555.0,1288,336,2,1,4,7,2,397.0,10934,220,130,0,SawyerW,289925
118,5,1209,1887,1887,2006,885.0,868,341,2,0,4,6,2,481.0,3205,390,230,190,BrkSide,134961
119,9,1733,1954,1964,2008,921.0,1349,384,2,1,3,7,3,658.0,7497,100,10,80,BrDale,271706
120,7,1347,2004,2014,2008,1076.0,998,349,2,0,3,5,2,512.0,9462,460,170,30,NridgHt,272025
121,8,1570,1917,1942,2009,1257.0,861,709,1,0,3,7,2,433.0,12891,50,290,10,NridgHt,316282
122,9,1605,1906,1911,2006,854.0,922,683,3,0,3,6,1,276.0,16035,330,50,50,NWAmes,263173
123,6,1406,1899,1899,2006,1386.0,847,559,1,0,2,5,3,640.0,13629,0,230,10,Blmngtn,219756
124,4,946,1922,1932,2008,730.0,520,426,3,1,3,7,2,488.0,19199,340,40,20,Mitchel,158068
125,5,1296,1910,1925,2009,1010.0,874,422,2,0,3,6,1,319.0,10259,240,130,60,Somerst,176547
126,6,1088,1970,1995,2008,826.0,862,226,2,0,3,5,2,456.0,4204,280,160,190,NridgHt,223242
127,8,1766,1940,1940,2008,1422.0,1286,480,1,0,4,7,2,415.0,7225,220,100,160,Edwards,265078
128,9,2016,1988,2013,2007,1274.0,1264,752,1,1,4,7,3,692.0,1624,170,0,80,NridgHt,366991
129,1,400,1970,1975,2007,257.0,200,200,1,1,2,5,3,666.0,11229,130,90,80,SWISU,86019
130,7,1624,1974,1974,2009,1227.0,964,660,1,0,2,5,3,661.0,14267,160,80,180,Mitchel,257997
131,6,1645,1892,1897,2010,1485.0,1082,563,2,1,2,6,2,497.0,6307,10,190,40,NPkVill,210053
132,5,1008,1992,1992,2007,529.0,602,406,2,0,4,7,2,415.0,19854,300,110,50,OldTown,134033
133,4,1434,1914,1939,2010,1149.0,764,670,2,0,4,6,1,228.0,17509,180,250,170,SawyerW,174649
134,6,1483,1927,1927,2006,1339.0,938,545,1,1,5,9,1,267.0,18698,310,0,0,Edwards,174086
135,10,1858,1914,1914,2007,1074.0,1070,788,3,0,3,6,1,227.0,4601,270,260,160,StoneBr,353468
136,6,1388,1965,1965,2007,704.0,1072,316,2,1,4,7,2,440.0,3154,400,230,130,Timber,220245
137,7,1661,1993,1993,2009,1090.0,881,780,1,0,3,6,3,688.0,18015,70,170,140,Crawfor,273051
138,8,1715,1979,1999,2010,1361.0,882,833,2,1,4,7,3,662.0,1894,410,110,40,Timber,317202
139,6,1507,1978,1998,2007,857.0,755,752,1,0,4,7,2,414.0,8819,400,10,160,BrDale,187183
140,10,1815,1882,1887,2007,1294.0,1086,729,1,1,3,6,2,462.0,5073,390,0,100,StoneBr,352785
141,10,2033,1964,1974,2009,1577.0,1419,614,2,1,3,5,2,487.0,10673,380,0,90,SawyerW,371800
142,6,1117,2004,2024,2009,892.0,803,314,2,0,4,8,2,455.0,8606,210,240,160,Crawfor,210105
143,7,1527,1962,1967,2010,973.0,971,556,3,0,3,7,2,476.0,12647,230,280,0,Veenker,251438
144,6,1219,1904,1924,2006,853.0,859,360,2,0,2,5,2,434.0,6560,370,0,40,Sawyer,161850
145,6,1252,1947,1947,2006,1113.0,761,491,3,1,2,6,3,657.0,17826,10,210,150,BrDale,184086
146,3,1197,1940,1955,2008,1161.0,838,359,3,0,3,6,2,402.0,14342,400,110,60,BrDale,133973
147,7,1768,1908,1918,2007,1645.0,905,863,2,0,3,5,2,468.0,12433,400,60,110,OldTown,245386
148,7,1671,2006,2011,2010,1306.0,1031,640,2,1,2,4,1,260.0,8132,180,30,70,Gilbert,266201
149,3,731,1898,1913,2007,515.0,538,193,1,0,3,5,1,211.0,8255,400,200,170,SWISU,79568
150,6,1336,1953,1968,2010,890.0,989,347,1,1,3,7,2,495.0,12630,10,190,0,OldTown,156126
151,9,2092,1940,1965,2010,1176.0,1495,597,2,0,3,6,2,467.0,7089,270,30,190,Timber,325162
152,5,1278,1899,1919,2010,707.0,717,561,2,0,3,6,3,629.0,13112,310,250,110,CollgCr,177697
153,5,1713,1927,1952,2007,1446.0,983,730,1,1,2,4,2,469.0,16343,180,140,30,Timber,235823
154,7,1628,1966,1966,2009,1025.0,1300,328,2,1,2,5,2,420.0,13515,150,0,110,Mitchel,238816
155,10,2038,1989,1989,2007,1278.0,1082,956,1,0,2,5,2,424.0,14172,290,50,0,Blueste,349507
156,5,1188,1907,1907,2010,1186.0,658,530,2,0,4,8,2,,4476,210,130,0,Blmngtn,175197
157,8,1726,1938,1938,2008,1025.0,930,796,1,0,3,7,2,419.0,19355,130,250,20,SawyerW,272373
158,8,1669,1930,1940,2006,958.0,998,671,2,0,4,7,2,463.0,13391,0,130,110,Blueste,275254
159,5,1391,1891,1891,2010,764.0,783,608,2,0,3,6,1,252.0,8095,440,90,120,Blueste,165595
160,8,1891,1929,1939,2008,1493.0,1227,664,1,0,5,8,2,472.0,19026,10,60,120,Blueste,288309
161,6,1242,1992,1997,2009,1010.0,798,444,2,1,3,7,2,,14904,210,220,80,Blueste,191638
162,7,1283,1893,1908,2010,875.0,988,295,2,1,2,4,1,238.0,19492,450,230,170,Sawyer,204922
163,7,1182,1911,1926,2008,907.0,603,579,1,0,2,5,3,638.0,14325,320,220,0,IDOTRR,178659
164,7,1651,1934,1959,2010,,983,668,1,0,3,7,2,451.0,19781,140,210,50,StoneBr,256436
165,4,879,1999,1999,2007,799.0,596,283,2,0,3,5,1,250.0,3692,490,110,40,IDOTRR,145200
166,9,1419,1954,1959,2008,1389.0,966,453,2,0,2,5,1,256.0,13764,400,230,30,CollgCr,294554
167,6,1477,1900,1900,2007,1347.0,951,526,2,1,3,6,3,652.0,2591,210,180,50,NWAmes,223057
168,5,1748,1966,1981,2007,1367.0,1301,447,1,1,4,6,2,436.0,18583,390,80,20,Sawyer,198656
169,3,948,1938,1958,2008,559.0,491,457,2,1,3,6,2,438.0,11593,380,20,160,BrkSide,128885
170,7,1717,1968,1978,2006,944.0,1278,439,1,1,2,5,1,248.0,3678,400,30,100,NAmes,226620
171,8,1716,1962,1962,2008,904.0,1112,604,2,0,2,5,3,665.0,18616,400,120,30,BrDale,253537
172,2,780,1944,1959,2006,649.0,421,359,2,0,2,4,2,452.0,15092,100,90,190,BrkSide,66630
173,7,1733,1943,1943,2010,1566.0,1326,407,2,1,4,8,2,426.0,10204,30,130,0,SWISU,259434
174,5,1191,1950,1950,2010,898.0,827,364,2,0,4,6,3,624.0,4187,60,50,30,BrDale,151361
175,7,1603,1883,1898,2008,845.0,880,723,2,1,4,8,1,265.0,5256,200,270,20,Timber,215116
176,5,1314,1983,1993,2010,1008.0,670,644,2,1,4,6,2,,7561,60,290,90,Blueste,179569
177,8,1566,1972,1972,2009,1515.0,849,717,2,1,3,6,0,,10123,30,270,0,NWAmes,266317
178,6,1598,1991,2011,2007,1276.0,1090,508,2,0,3,5,2,435.0,5994,110,70,30,NWAmes,234190
179,10,1965,1998,2018,2007,1777.0,1088,877,2,0,3,5,2,393.0,2779,260,180,180,NAmes,347089
180,5,1098,1938,1938,2006,988.0,623,475,2,1,4,6,3,661.0,8038,160,280,0,Gilbert,180989
181,6,1507,1922,1932,2010,1455.0,764,743,2,1,4,7,2,428.0,3721,190,90,150,Crawfor,208848
182,4,920,1891,1911,2006,814.0,659,261,2,1,3,6,2,446.0,6664,300,210,180,Blueste,124550
183,9,1855,1919,1939,2007,1620.0,1378,477,2,1,3,5,3,654.0,2354,250,40,190,SawyerW,320035
184,9,1848,1997,2002,2007,1140.0,1365,483,2,0,4,8,3,666.0,4712,300,40,170,MeadowV,315271
185,6,1617,1899,1899,2010,856.0,870,747,2,0,2,5,2,476.0,15885,340,40,10,IDOTRR,191448
186,8,1794,1969,1969,2009,1361.0,1383,411,2,0,4,7,2,485.0,14030,80,80,50,NridgHt,337524
187,8,1694,1973,1973,2009,952.0,1188,506,2,0,2,5,1,289.0,4840,40,280,0,BrkSide,268675
188,7,1713,1892,1912,2010,1680.0,1317,396,3,1,3,6,0,53.0,11311,470,220,180,MeadowV,214756
189,7,1828,1945,1950,2010,1178.0,1159,669,2,1,3,7,2,399.0,1775,70,270,40,StoneBr,285150
190,5,1361,1916,1926,2006,1260.0,858,503,2,0,3,6,1,231.0,13795,200,80,10,MeadowV,162248
191,4,1102,1945,1965,2010,764.0,810,292,2,0,3,6,2,492.0,2214,150,140,0,SWISU,123671
192,9,1587,1915,1940,2009,1049.0,837,750,2,0,3,6,0,54.0,7554,150,80,150,StoneBr,297054
193,9,1636,1905,1905,2010,1582.0,1073,563,2,1,4,8,2,515.0,2309,170,280,10,Timber,290070
194,7,1488,1954,1954,2006,1014.0,1117,371,3,0,3,5,2,438.0,14715,460,130,30,IDOTRR,237241
195,6,1278,1987,1997,2006,888.0,957,321,1,0,4,7,1,319.0,10553,270,50,20,NoRidge,217167
196,6,1362,1922,1932,2006,753.0,1071,291,1,0,2,4,2,449.0,1536,170,290,160,Sawyer,168368
197,8,1711,1887,1887,2006,1429.0,1213,498,1,0,4,7,2,437.0,11773,130,210,140,Sawyer,237179
198,9,1955,1908,1928,2008,,1099,856,2,1,2,4,2,428.0,13999,470,190,90,CollgCr,326454
199,9,1835,1919,1919,2010,1454.0,928,907,3,0,3,7,2,469.0,12903,360,70,110,NridgHt,363464
200,8,1797,2007,2007,2007,1429.0,1156,641,1,0,2,6,2,407.0,16537,390,290,110,Mitchel,301251
201,7,1562,1963,1988,2010,1342.0,1021,541,2,0,3,6,1,233.0,15517,150,10,190,Mitchel,225036
202,4,704,1995,2015,2008,614.0,402,302,2,0,4,7,1,248.0,18865,200,40,60,BrDale,86788
203,5,1062,1941,1956,2006,804.0,570,492,2,1,3,6,0,,16196,0,160,90,Crawfor,168612
204,9,1821,1886,1906,2008,1211.0,1230,591,2,0,3,6,2,447.0,7947,100,90,40,CollgCr,327492
205,7,1308,1924,1949,2009,1201.0,953,355,2,0,4,7,2,501.0,14083,100,130,190,BrDale,187026
206,1,769,1967,1982,2009,503.0,613,156,1,1,3,5,1,262.0,1651,10,170,190,Blmngtn,88086
207,4,1406,1952,1962,2010,1059.0,1022,384,2,0,4,8,2,430.0,15757,310,0,100,StoneBr,237676
208,8,1943,1916,1916,2010,1361.0,1434,509,1,1,3,6,2,435.0,12986,180,210,10,Crawfor,275532
209,1,607,1998,1998,2007,563.0,415,192,2,0,4,8,3,660.0,15007,40,10,150,ClearCr,78464
210,5,1548,1936,1956,2007,1108.0,1231,317,2,0,3,5,2,434.0,11014,20,270,110,NridgHt,240866
211,7,1579,1887,1887,2009,1094.0,1092,487,1,1,5,8,2,464.0,7148,270,30,150,Gilbert,228299
212,8,1632,1974,1994,2006,1378.0,1237,395,1,1,3,5,2,433.0,3011,250,120,30,NridgHt,308093
213,8,1577,1996,2006,2008,1263.0,1235,342,2,1,3,7,3,619.0,18115,220,150,10,BrDale,272742
214,5,1189,1989,1989,2007,658.0,926,263,2,0,2,5,3,685.0,9249,290,40,90,Edwards,170707
215,8,1622,1899,1899,2007,1223.0,996,626,2,0,3,7,2,471.0,2071,70,220,120,BrDale,231366
216,5,1284,2003,2003,2006,1114.0,672,612,1,0,2,6,2,393.0,19086,350,90,180,NWAmes,180432
217,6,1432,1932,1932,2006,1426.0,789,643,1,0,3,6,2,439.0,13732,280,160,140,Somerst,208323
218,8,1700,1998,2018,2010,1384.0,880,820,2,1,3,6,2,481.0,11262,120,270,0,SawyerW,303236
219,7,1637,1891,1911,2008,1121.0,870,767,1,0,4,8,2,445.0,14717,240,100,160,Timber,235809
220,9,2088,1896,1896,2006,1280.0,1159,929,3,0,2,5,2,432.0,10731,210,40,190,Sawyer,308825
221,8,1889,1943,1943,2007,1768.0,1137,752,1,1,4,7,3,642.0,8109,450,140,30,NPkVill,312222
222,7,1253,1921,1946,2007,1136.0,830,423,2,0,2,5,2,453.0,16129,320,30,190,Edwards,195943
223,4,589,1973,1993,2009,363.0,420,169,1,1,3,7,2,444.0,13773,360,60,80,Somerst,89861
224,6,1586,1890,1890,2006,952.0,893,693,1,0,4,7,2,447.0,18054,60,290,50,Gilbert,229273
225,6,1126,1977,1977,2010,965.0,790,336,2,0,4,8,2,445.0,6651,220,90,20,NridgHt,242106
226,5,1205,1950,1970,2008,792.0,857,348,2,1,3,5,2,420.0,7906,50,220,10,Mitchel,169694
227,10,1765,1987,1987,2010,1152.0,1178,587,1,0,2,5,2,419.0,15794,140,230,170,MeadowV,307097
228,6,1039,1937,1937,2007,598.0,801,238,1,0,3,5,2,417.0,16393,140,30,180,SawyerW,159715
229,9,1958,1913,1923,2010,1237.0,1044,914,1,1,3,5,2,452.0,1688,390,190,60,Timber,317871
230,7,1701,1899,1914,2007,1214.0,940,761,2,1,3,7,3,667.0,14573,330,250,20,OldTown,232977
231,8,1584,1929,1934,2007,1372.0,995,589,2,1,3,7,1,221.0,8645,130,40,170,SWISU,246483
232,7,1031,1981,2006,2007,688.0,554,477,1,1,3,7,2,404.0,7427,280,40,190,NoRidge,228299
233,7,1440,1931,1946,2007,956.0,964,476,2,0,2,6,1,223.0,2099,150,100,190,OldTown,197306
234,7,1628,1894,1914,2007,1045.0,1008,620,2,1,4,7,3,692.0,14633,280,180,180,BrkSide,226721
235,5,954,1963,1963,2009,705.0,558,396,2,1,4,6,2,440.0,13709,220,40,80,SawyerW,154438
236,8,1736,1916,1936,2010,1024.0,956,780,3,0,2,5,2,443.0,13024,90,200,150,ClearCr,272154
237,6,1396,2005,2005,2009,1036.0,838,558,2,1,3,7,1,226.0,15817,460,70,50,Mitchel,209558
238,2,915,1919,1919,2009,779.0,624,291,1,0,2,4,2,467.0,10645,30,60,110,StoneBr,143295
239,7,1573,1951,1966,2006,809.0,1058,515,1,0,4,8,3,646.0,15857,110,70,50,CollgCr,223443
240,5,1055,1919,1924,2006,532.0,579,476,2,1,3,6,1,228.0,11317,410,120,120,Mitchel,147078
241,10,2239,1935,1945,2006,1203.0,1203,1036,3,0,2,6,2,419.0,3370,330,40,40,MeadowV,340263
242,10,1968,1983,1998,2008,1511.0,999,969,2,0,2,5,1,261.0,19908,30,270,120,Somerst,364153
